date,market,product,total_qty,total_amount,avg_price
2024-01-01,national,감귤,26920.0,104756000,3891.4
2024-01-01,national,감자,500.0,1088690,2177.4
2024-01-01,national,깻잎,96.0,768640,8006.7
2024-01-01,national,당근,20.0,35800,1790.0
2024-01-01,national,대파,1275.0,3429840,2690.1
2024-01-01,national,딸기,4817.0,76445200,15869.9
2024-01-01,national,마늘,545.0,698540,1281.7
2024-01-01,national,무,6560.0,3268400,498.2
2024-01-01,national,배추,1741.0,2754520,1582.1
2024-01-01,national,사과,1636.0,9735000,5950.5
2024-01-01,national,상추,300.0,1264360,4214.5
2024-01-01,national,시금치,1051.2,2159730,2054.4
2024-01-01,national,양배추,3766.0,1399820,371.7
2024-01-01,national,양파,6051.5,7757520,1281.9
2024-01-01,national,오이,250.0,1845620,7382.5
2024-01-01,national,토마토,665.0,2817700,4237.1
2024-01-01,national,파프리카,90.0,240500,2672.2
2024-01-01,national,포도,2726.2,23425000,8592.5
2024-01-02,national,감귤,596390.0,2139000460,3586.6
2024-01-02,national,감자,63030.0,120461944,1911.2
2024-01-02,national,깻잎,7321.7,129595400,17700.2
2024-01-02,national,당근,48212.0,44025880,913.2
2024-01-02,national,대파,112325.2,395409900,3520.2
2024-01-02,national,딸기,124505.4,1999829270,16062.2
2024-01-02,national,마늘,24057.0,132206241,5495.5
2024-01-02,national,무,254173.0,128345080,505.0
2024-01-02,national,배추,175210.7,122201366,697.5
2024-01-02,national,사과,117322.0,612308280,5219.0
2024-01-02,national,상추,37767.0,175645022,4650.8
2024-01-02,national,시금치,45495.4,145959135,3208.2
2024-01-02,national,양배추,160885.0,78916350,490.5
2024-01-02,national,양파,270136.0,311355656,1152.6
2024-01-02,national,오이,45223.5,224245225,4958.6
2024-01-02,national,토마토,45723.0,167862200,3671.3
2024-01-02,national,파프리카,10749.5,56676115,5272.4
2024-01-02,national,포도,17700.4,128259720,7246.1
2024-01-03,daejeon,감귤,180734.5,553093100,3060.3
2024-01-03,daejeon,감자,70700.0,139322200,1970.6
2024-01-03,daejeon,깻잎,4965.0,64212850,12933.1
2024-01-03,daejeon,당근,45800.0,52382200,1143.7
2024-01-03,daejeon,대파,69428.0,185789520,2676.0
2024-01-03,daejeon,딸기,58602.5,871980200,14879.6
2024-01-03,daejeon,마늘,36410.0,189149100,5195.0
2024-01-03,daejeon,무,122581.3,54304620,443.0
2024-01-03,daejeon,배추,60375.5,42660018,706.6
2024-01-03,daejeon,사과,31582.4,155076500,4910.2
2024-01-03,daejeon,상추,15836.0,58562620,3698.1
2024-01-03,daejeon,시금치,26763.5,81710454,3053.1
2024-01-03,daejeon,양배추,72432.0,34968684,482.8
2024-01-03,daejeon,양파,227027.0,246659900,1086.5
2024-01-03,daejeon,오이,28687.0,164945900,5749.8
2024-01-03,daejeon,토마토,12643.0,45628000,3609.0
2024-01-03,daejeon,파프리카,4398.0,23372498,5314.3
2024-01-03,daejeon,포도,12426.7,89550600,7206.3
2024-01-03,garak,감귤,576144.8,1783348500,3095.3
2024-01-03,garak,감자,402168.0,665498100,1654.8
2024-01-03,garak,깻잎,56712.2,583727505,10292.8
2024-01-03,garak,당근,349010.0,325939300,933.9
2024-01-03,garak,대파,612808.0,1506705500,2458.7
2024-01-03,garak,딸기,247625.8,3415015900,13791.0
2024-01-03,garak,마늘,20561.4,93496800,4547.2
2024-01-03,garak,무,918232.0,412679600,449.4
2024-01-03,garak,배추,417354.5,294521200,705.7
2024-01-03,garak,사과,416364.0,2544557000,6111.4
2024-01-03,garak,상추,116182.0,400762400,3449.4
2024-01-03,garak,시금치,182362.8,574663010,3151.2
2024-01-03,garak,양배추,411098.0,209672400,510.0
2024-01-03,garak,양파,878086.0,953595050,1086.0
2024-01-03,garak,오이,389041.0,1720671000,4422.9
2024-01-03,garak,토마토,209148.7,731573500,3497.9
2024-01-03,garak,파프리카,110708.0,531018000,4796.6
2024-01-03,garak,포도,92215.5,745391000,8083.1
2024-01-03,national,감귤,2500698.0,7868683250,3146.6
2024-01-03,national,감자,1079575.0,1852400459,1715.9
2024-01-03,national,깻잎,100870.6,1139001358,11291.7
2024-01-03,national,당근,761875.0,731119006,959.6
2024-01-03,national,대파,1174083.4,3195295709,2721.5
2024-01-03,national,딸기,634124.9,9020272320,14224.8
2024-01-03,national,마늘,147649.3,793924829,5377.1
2024-01-03,national,무,2015480.8,909685540,451.3
2024-01-03,national,배추,1328003.9,858983401,646.8
2024-01-03,national,사과,839562.4,4704292970,5603.3
2024-01-03,national,상추,250634.6,1023441858,4083.4
2024-01-03,national,시금치,383014.7,1239270973,3235.6
2024-01-03,national,양배추,1086786.9,550514956,506.6
2024-01-03,national,양파,2320734.0,2518699904,1085.3
2024-01-03,national,오이,713277.0,3172583991,4447.9
2024-01-03,national,토마토,391202.7,1368380000,3497.9
2024-01-03,national,파프리카,152643.5,740983977,4854.3
2024-01-03,national,포도,207875.3,1622134100,7803.4
2024-01-04,daejeon,감귤,138995.0,387138900,2785.3
2024-01-04,daejeon,감자,37560.0,64007600,1704.1
2024-01-04,daejeon,깻잎,3303.0,44722460,13540.0
2024-01-04,daejeon,당근,44760.0,35303700,788.7
2024-01-04,daejeon,대파,55820.0,166188070,2977.2
2024-01-04,daejeon,딸기,28480.5,352490900,12376.6
2024-01-04,daejeon,마늘,21852.0,105410210,4823.8
2024-01-04,daejeon,무,95704.0,43495640,454.5
2024-01-04,daejeon,배추,63897.5,41557264,650.4
2024-01-04,daejeon,사과,19530.0,99378100,5088.5
2024-01-04,daejeon,상추,12188.0,42208300,3463.1
2024-01-04,daejeon,시금치,16308.5,54838663,3362.6
2024-01-04,daejeon,양배추,72662.0,34811327,479.1
2024-01-04,daejeon,양파,173496.0,187241640,1079.2
2024-01-04,daejeon,오이,9632.0,55566790,5769.0
2024-01-04,daejeon,토마토,5245.0,19534300,3724.4
2024-01-04,daejeon,파프리카,7810.0,43198784,5531.2
2024-01-04,daejeon,포도,10731.8,84040000,7830.9
2024-01-04,garak,감귤,437855.0,1236474960,2823.9
2024-01-04,garak,감자,284310.0,458491000,1612.6
2024-01-04,garak,깻잎,34019.8,365708840,10749.9
2024-01-04,garak,당근,260391.0,234311700,899.8
2024-01-04,garak,대파,455891.0,1288143500,2825.6
2024-01-04,garak,딸기,158019.2,1943360500,12298.3
2024-01-04,garak,마늘,9669.6,44460280,4597.9
2024-01-04,garak,무,811264.0,342371200,422.0
2024-01-04,garak,배추,407978.0,246842300,605.0
2024-01-04,garak,사과,31367.6,155452000,4955.8
2024-01-04,garak,상추,85724.0,293258500,3421.0
2024-01-04,garak,시금치,127518.4,415774900,3260.5
2024-01-04,garak,양배추,356748.0,171143700,479.7
2024-01-04,garak,양파,781964.0,815449650,1042.8
2024-01-04,garak,오이,121355.4,534784150,4406.8
2024-01-04,garak,토마토,90533.1,318338800,3516.3
2024-01-04,garak,파프리카,49925.0,253481000,5077.2
2024-01-04,garak,포도,79344.7,634860800,8001.3
2024-01-04,national,감귤,1862899.9,5438167270,2919.2
2024-01-04,national,감자,810925.0,1344850764,1658.4
2024-01-04,national,깻잎,65153.5,764359747,11731.7
2024-01-04,national,당근,572326.0,509380525,890.0
2024-01-04,national,대파,901881.6,2647946105,2936.0
2024-01-04,national,딸기,422820.7,5306631200,12550.5
2024-01-04,national,마늘,101604.9,543594038,5350.1
2024-01-04,national,무,1838488.8,798277365,434.2
2024-01-04,national,배추,929654.7,583990349,628.2
2024-01-04,national,사과,1079831.6,4814771200,4458.8
2024-01-04,national,상추,195564.0,792459968,4052.2
2024-01-04,national,시금치,288830.4,923137928,3196.1
2024-01-04,national,양배추,957292.8,437380960,456.9
2024-01-04,national,양파,2020581.0,2158066752,1068.0
2024-01-04,national,오이,251912.4,1146769759,4552.3
2024-01-04,national,토마토,172979.1,620293230,3585.9
2024-01-04,national,파프리카,87956.0,445672191,5067.0
2024-01-04,national,포도,208643.2,1609337650,7713.3
